Incident Num,CAD Num,Inc Type Code,Inc Type Desc,Shift,Address,Apt,City,Zip,County,Station First Due,BC District,Fire District,Medic First Due,Pop Density,Response Type,911 Date,Notify Date,Arrival Date,Clear Date,Action Taken,Property Use,Property Loss,Property Value,Mutual Aid,Cause of Ignition,Fire Spread,Injury/Fatality,Geo Status,How Geocoded,Incident Date,Process Time,Unit Response Time,Total Response Time,Total Resource Time,Incident Category,Record ID,Inc Type Desc,X,Y
SM-2019-40003,2019-0048543,322,Vehicle accident with injuries,C,186 I-25 SB,,UNINC DOUG,80108,Douglas,36,1,SOUTH METRO,36,SUBURBAN,Non-emergent,12/3/2019 17:26,12/3/2019 17:27,12/3/2019 17:33,12/3/2019 18:09,"Provide advanced life support (ALS); Transport person; Assistance, other",Highway or divided highway,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/3/2019 17:26,0:25,6:41,7:06,42:54:00,"RESCUE, EMS",SM-224459,322 - Vehicle accident with injuries,-11674985.59,4784488.736
SM-2019-40010,2019-0048553,321,Emergency medical incident,C,22105 E Grand Drive,,UNINC ARAP,80015,Arapahoe,23,5,SOUTH METRO,23,URBAN,Non-emergent,12/3/2019 18:12,12/3/2019 18:12,12/3/2019 18:16,12/3/2019 18:52,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/3/2019 18:12,0:08,4:11,4:19,40:19:00,"RESCUE, EMS",SM-224467,321 - Emergency medical incident,-11658473.57,4811662.044
SM-2019-40017,2019-0048560,321,Emergency medical incident,C,1026 Deer Clover Way,,CASTLE PINES,80108,Douglas,36,1,SOUTH METRO,36,SUBURBAN,Emergent,12/3/2019 19:26,12/3/2019 19:26,12/3/2019 19:31,12/3/2019 20:09,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/3/2019 19:26,0:25,4:51,5:16,42:41:00,"RESCUE, EMS",SM-224472,321 - Emergency medical incident,-11677997.9,4789400.658
SM-2019-40028,2019-0048573,600,"Good intent call, other",C,8887 Prickly Pear Circle,,PARKER,80134,Douglas,42,5,SOUTH METRO,42,URBAN,Emergent,12/3/2019 20:56,12/3/2019 20:57,12/3/2019 20:59,12/3/2019 21:09,Provide first aid &amp; check for injuries,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/3/2019 20:56,0:23,1:59,2:22,13:03,GOOD INTENT CALL,SM-224483,"600 - Good intent call, other",-11664446.98,4801473.702
SM-2019-40035,2019-0048580,321,Emergency medical incident,C,6509 S Santa Fe Drive,,LITTLETON,80120,Arapahoe,11,2,SOUTH METRO,11,URBAN,Non-emergent,12/4/2019 0:25,12/4/2019 0:25,12/4/2019 0:31,12/4/2019 1:07,Provide advanced life support (ALS); Transport person,"Health care, detention, & correction, other",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/4/2019 0:25,0:07,6:06,6:13,42:07:00,"RESCUE, EMS",SM-224491,321 - Emergency medical incident,-11690955.49,4807754.781
SM-2019-40042,2019-0048589,321,Emergency medical incident,C,9255 Zotos Drive,,UNINC DOUG,80129,Douglas,18,1,SOUTH METRO,18,URBAN,Non-emergent,12/4/2019 2:55,12/4/2019 2:56,12/4/2019 3:01,12/4/2019 3:18,Provide advanced life support (ALS); Transport person,Bus station,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/4/2019 2:55,0:19,5:05,5:24,23:04,"RESCUE, EMS",SM-224497,321 - Emergency medical incident,-11688290.5,4800411.118
SM-2019-40155,2019-0048719,321,Emergency medical incident,B,18706 Cottonwood Drive,,PARKER,80138,Douglas,42,5,SOUTH METRO,42,URBAN,Non-emergent,12/4/2019 20:11,12/4/2019 20:11,12/4/2019 20:19,12/4/2019 20:45,Provide advanced life support (ALS); Transport person,"Variable-use amusement, recreation places, other",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/4/2019 20:11,0:18,7:51,8:09,34:03:00,"RESCUE, EMS",SM-224607,321 - Emergency medical incident,-11663214.67,4801755.248
SM-2019-40162,2019-0048732,731,Malfunction - due to sprinkler system activation,B,18401 Plaza Drive,,PARKER,80134,Douglas,45,4,SOUTH METRO,41,URBAN,Emergent,12/4/2019 22:06,12/4/2019 22:07,12/4/2019 22:15,12/4/2019 22:23,Investigate,Warehouse,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/4/2019 22:06,0:54,7:46,8:40,17:17,"FALSE ALARM, FALSE CALL",SM-224616,731 - Malfunction - due to sprinkler system activation,-11663655.5,4797434.749
SM-2019-40169,2019-0048741,321,Emergency medical incident,B,535 W Castle Pines Parkway,116,CASTLE PINES,80108,Douglas,36,1,SOUTH METRO,36,SUBURBAN,Non-emergent,12/5/2019 0:54,12/5/2019 0:54,12/5/2019 0:59,12/5/2019 1:39,Provide advanced life support (ALS); Transport person,"24-hour care Nursing homes, 4 or more persons",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/5/2019 0:54,0:41,4:54,5:35,45:11:00,"RESCUE, EMS",SM-224623,321 - Emergency medical incident,-11676938.14,4789593.897
SM-2019-40180,2019-0048757,745,Unintentional - alarm system activation (no fire),B,1137 E Geddes Avenue,,CENTENNIAL,80122,Arapahoe,15,2,SOUTH METRO,15,URBAN,"Emergent initially, changing to non-emergent",12/5/2019 7:25,12/5/2019 7:25,12/5/2019 7:34,12/5/2019 7:36,Investigate,"24-hour care Nursing homes, 4 or more persons",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/5/2019 7:25,0:15,8:58,9:13,11:21,"FALSE ALARM, FALSE CALL",SM-224633,745 - Unintentional - alarm system activation (no fire),-11685815.87,4805691.946
SM-2019-40187,2019-0048765,611,Dispatched & cancelled enroute,B,10103 Ridgegate Parkway,ASPEN,LONE TREE,80124,Douglas,44,4,SOUTH METRO,44,SUBURBAN,Emergent,12/5/2019 8:18,12/5/2019 8:18,,12/5/2019 8:21,Cancelled enroute,None,NaN,NaN,No aid given or received,,,,M,address_points_zip,12/5/2019 8:18,0:38,0:00,0:00,2:55,GOOD INTENT CALL,SM-224639,611 - Dispatched & cancelled enroute,-11674282.61,4797828.033
SM-2019-40194,2019-0048773,321,Emergency medical incident,B,6780 S Galena Street,106,CENTENNIAL,80112,Arapahoe,35,5,SOUTH METRO,31,URBAN,Non-emergent,12/5/2019 9:13,12/5/2019 9:14,12/5/2019 9:16,12/5/2019 9:52,Provide advanced life support (ALS); Transport person,"Hotel/motel, commercial",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/5/2019 9:13,0:13,2:14,2:27,38:18:00,"RESCUE, EMS",SM-224649,321 - Emergency medical incident,-11674049.4,4807044.009
SM-2019-40361,2019-0048968,321,Emergency medical incident,A,8425 Park Meadows Center Drive,,LONE TREE,80124,Douglas,34,3,SOUTH METRO,34,URBAN,Emergent,12/6/2019 15:16,12/6/2019 15:17,12/6/2019 15:20,12/6/2019 15:30,Provide advanced life support (ALS),Police station,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/6/2019 15:16,0:19,3:28,3:47,13:07,"RESCUE, EMS",SM-224816,321 - Emergency medical incident,-11674932.16,4802618.705
SM-2019-40268,2019-0048857,321,Emergency medical incident,B,16806 Bitterbrush Lane,,PARKER,80134,Douglas,45,4,SOUTH METRO,42,URBAN,Non-emergent,12/5/2019 20:59,12/5/2019 20:59,12/5/2019 21:05,12/5/2019 21:34,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/5/2019 20:59,0:30,5:34,6:04,35:11:00,"RESCUE, EMS",SM-224723,321 - Emergency medical incident,-11665679.28,4802275.046
SM-2019-40275,2019-0048865,321,Emergency medical incident,B,5639 S Windermere Street,201,LITTLETON,80120,Arapahoe,11,2,SOUTH METRO,11,URBAN,Non-emergent,12/5/2019 23:00,12/5/2019 23:00,12/5/2019 23:06,12/5/2019 23:34,Provide advanced life support (ALS); Transport person,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/5/2019 23:00,0:32,5:13,5:45,33:56:00,"RESCUE, EMS",SM-224730,321 - Emergency medical incident,-11689345.81,4810089.708
SM-2019-40286,2019-0048876,321,Emergency medical incident,B,481 W Prentice Avenue,201,LITTLETON,80120,Arapahoe,12,2,SOUTH METRO,12,URBAN,Emergent,12/6/2019 2:45,12/6/2019 2:45,12/6/2019 2:52,12/6/2019 3:30,Provide advanced life support (ALS); Transport person,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/6/2019 2:45,0:10,7:10,7:20,44:57:00,"RESCUE, EMS",SM-224741,321 - Emergency medical incident,-11687891.97,4811020.362
SM-2019-40293,2019-0048883,321,Emergency medical incident,B,200 W Sterne Parkway,310,LITTLETON,80120,Arapahoe,12,2,SOUTH METRO,12,URBAN,Non-emergent,12/6/2019 4:40,12/6/2019 4:41,12/6/2019 4:45,12/6/2019 5:19,Provide advanced life support (ALS); Transport person,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/6/2019 4:40,0:29,4:26,4:55,38:33:00,"RESCUE, EMS",SM-224748,321 - Emergency medical incident,-11687540.21,4806903.883
SM-2019-40300,2019-0048892,321,Emergency medical incident,A,S Dayton Street & E Arapahoe Road,,GREENWOOD VILLAGE,80111.3,Arapahoe,35,5,SOUTH METRO,31,URBAN,Emergent,12/6/2019 7:16,12/6/2019 7:17,12/6/2019 7:22,12/6/2019 7:34,"Emergency medical services, other",Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/6/2019 7:16,0:24,5:27,5:51,17:15,"RESCUE, EMS",SM-224755,321 - Emergency medical incident,-11674764.07,4807254.924
SM-2019-40482,2019-0049115,321,Emergency medical incident,A,9305 Las Ramblas Court,G,UNINC DOUG,80134,Douglas,45,4,SOUTH METRO,44,URBAN,Emergent,12/7/2019 15:04,12/7/2019 15:05,12/7/2019 15:11,12/7/2019 16:01,Provide advanced life support (ALS); Provide manpower,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 15:04,0:23,6:19,6:42,56:38:00,"RESCUE, EMS",SM-224944,321 - Emergency medical incident,-11666200.26,4800386.576
SM-2019-40489,2019-0049124,611,Dispatched & cancelled enroute,A,12257 S Wadsworth Boulevard,,UNINC JEFF,80127,Jefferson,19,1,SOUTH METRO,16,RURAL,Emergent,12/7/2019 15:28,12/7/2019 15:28,12/7/2019 15:33,12/7/2019 15:33,Cancelled enroute,None,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 15:28,0:24,5:01,5:25,5:32,GOOD INTENT CALL,SM-224940,611 - Dispatched & cancelled enroute,-11699974.59,4793534.475
SM-2019-40496,2019-0049131,321,Emergency medical incident,A,2201 E Dry Creek Road,,CENTENNIAL,80122,Arapahoe,15,2,SOUTH METRO,15,URBAN,Emergent,12/7/2019 16:12,12/7/2019 16:12,12/7/2019 16:15,12/7/2019 16:29,Provide advanced life support (ALS),High school/junior high school/middle school,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 16:12,0:13,3:00,3:13,16:48,"RESCUE, EMS",SM-224949,321 - Emergency medical incident,-11684416.58,4805332.293
SM-2019-40507,2019-0049145,321,Emergency medical incident,A,2 Middle Road,,CHERRY HILLS VILLAGE,80113.1,Arapahoe,38,3,SOUTH METRO,37,SUBURBAN,Non-emergent,12/7/2019 17:54,12/7/2019 17:54,12/7/2019 18:00,12/7/2019 18:42,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 17:54,0:17,5:55,6:12,47:46:00,"RESCUE, EMS",SM-224965,321 - Emergency medical incident,-11681786.1,4815326.49
SM-2019-40514,2019-0049157,325,Vehicle accident with no injuries,A,Southpark Drive & Southpark Terrace,,LITTLETON,80129,Arapahoe,18,1,SOUTH METRO,18,URBAN,Emergent,12/7/2019 18:54,12/7/2019 18:54,12/7/2019 19:00,12/7/2019 19:43,Provide advanced life support (ALS); Control traffic; Investigate,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 18:54,0:07,6:14,6:21,48:48:00,"RESCUE, EMS",SM-224972,325 - Vehicle accident with no injuries,-11687877.5,4803444.69
SM-2019-40521,2019-0049167,321,Emergency medical incident,A,6401 S Ouray Street,,UNINC ARAP,80016,Arapahoe,42,5,SOUTH METRO,42,SUBURBAN,"Emergent initially, changing to non-emergent",12/7/2019 20:22,12/7/2019 20:22,12/7/2019 20:28,12/7/2019 20:40,"Action taken, other; Provide basic life support (BLS); Operate apparatus or vehicle",1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 20:22,0:12,5:57,6:09,18:07,"RESCUE, EMS",SM-224979,321 - Emergency medical incident,-11665173.89,4808048.062
SM-2019-40525,2019-0049171,321,Emergency medical incident,A,7306 S Dexter Street,,CENTENNIAL,80122,Arapahoe,14,3,SOUTH METRO,15,URBAN,Emergent,12/7/2019 21:04,12/7/2019 21:04,12/7/2019 21:10,12/7/2019 21:29,Provide basic life support (BLS); Provide first aid &amp; check for injuries,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 21:04,0:16,6:01,6:17,24:44:00,"RESCUE, EMS",SM-224983,321 - Emergency medical incident,-11681193.88,4805728.056
SM-2019-40532,2019-0049179,741,Unintentional - sprinkler activation (no fire),A,6278 S Troy Circle,COMPLEX,UNINC DOUG,80111.3,Arapahoe,17,2,SOUTH METRO,17,URBAN,Emergent,12/7/2019 21:49,12/7/2019 21:49,12/7/2019 21:57,12/7/2019 22:34,Investigate; Shut down system; Remove water,Laboratory or science lababoratory,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 21:49,0:24,7:31,7:55,45:31:00,"FALSE ALARM, FALSE CALL",SM-224989,741 - Unintentional - sprinkler activation (no fire),-11680865.49,4798424.849
SM-2019-40539,2019-0049186,321,Emergency medical incident,A,7911 S Broadway,,LITTLETON,80122,Arapahoe,12,2,SOUTH METRO,12,URBAN,Non-emergent,12/7/2019 23:18,12/7/2019 23:18,12/7/2019 23:23,12/7/2019 23:42,Provide advanced life support (ALS); Transport person,Vehicle parking area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/7/2019 23:18,0:28,4:51,5:19,23:52,"RESCUE, EMS",SM-224997,321 - Emergency medical incident,-11687330.92,4803957.355
SM-2019-40546,2019-0049195,611,Dispatched & cancelled enroute,A,10165 Jill Avenue,,UNINC DOUG,80130,Douglas,17,2,SOUTH METRO,17,URBAN,,12/8/2019 1:28,12/8/2019 1:28,,12/8/2019 1:30,Cancelled enroute,None,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/8/2019 1:28,0:17,0:00,0:00,2:11,GOOD INTENT CALL,SM-225004,611 - Dispatched & cancelled enroute,-11679077.7,4797965.869
SM-2019-40644,2019-0049308,743,Unintentional - smoke detector activation (no fire),C,2 Meadowbrook Place,,LITTLETON,80120,Arapahoe,12,2,SOUTH METRO,12,URBAN,Emergent,12/8/2019 23:49,12/8/2019 23:50,12/8/2019 23:57,12/9/2019 0:03,Restore fire alarm system; Investigate,"24-hour care Nursing homes, 4 or more persons",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/8/2019 23:49,0:24,7:11,7:35,13:09,"FALSE ALARM, FALSE CALL",SM-225102,743 - Unintentional - smoke detector activation (no fire),-11688477.52,4806006.833
SM-2019-40651,2019-0049320,321,Emergency medical incident,C,5930 S Vine Street,,GREENWOOD VILLAGE,80121,Arapahoe,37,3,SOUTH METRO,37,URBAN,Non-emergent,12/9/2019 3:13,12/9/2019 3:13,12/9/2019 3:18,12/9/2019 3:39,Provide basic life support (BLS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 3:13,0:25,4:29,4:54,26:13:00,"RESCUE, EMS",SM-225109,321 - Emergency medical incident,-11684412.13,4809274.733
SM-2019-40658,2019-0049329,321,Emergency medical incident,C,5677 S King Street,,LITTLETON,80123,Arapahoe,11,2,SOUTH METRO,11,URBAN,Non-emergent,12/9/2019 5:04,12/9/2019 5:04,12/9/2019 5:11,12/9/2019 5:46,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 5:04,0:33,6:39,7:12,42:01:00,"RESCUE, EMS",SM-225117,321 - Emergency medical incident,-11692436.04,4809974.104
SM-2019-40669,2019-0049342,554,Assist invalid; lift assist without medical treatment,C,7923 S Pennsylvania Drive,,LITTLETON,80122,Arapahoe,15,2,SOUTH METRO,15,URBAN,Non-emergent,12/9/2019 7:51,12/9/2019 7:51,12/9/2019 8:03,12/9/2019 8:08,Assist physically disabled,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 7:51,0:32,11:57,12:29,17:05,SERVICE CALL,SM-225126,554 - Assist invalid; lift assist without medical treatment,-11686497.14,4804136.433
SM-2019-40676,2019-0049351,745,Unintentional - alarm system activation (no fire),C,1557 Briarhollow Lane,,UNINC DOUG,80129,Douglas,18,1,SOUTH METRO,18,URBAN,Non-emergent,12/9/2019 9:13,12/9/2019 9:14,12/9/2019 9:26,12/9/2019 9:28,Investigate,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 9:13,0:29,12:13,12:42,14:50,"FALSE ALARM, FALSE CALL",SM-225134,745 - Unintentional - alarm system activation (no fire),-11689334.68,4798211.233
SM-2019-40683,2019-0049363,321,Emergency medical incident,C,11155 Motsenbocker Road,OUTSIDE,PARKER,80134,Douglas,45,4,SOUTH METRO,41,SUBURBAN,Emergent,12/9/2019 10:36,12/9/2019 10:36,12/9/2019 10:42,12/9/2019 11:29,Provide basic life support (BLS),"Elementary school, including kindergarten",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 10:36,0:41,5:30,6:11,53:35:00,"RESCUE, EMS",SM-225141,321 - Emergency medical incident,-11664756.44,4795590.479
SM-2019-40694,2019-0049376,321,Emergency medical incident,C,3085 Mill Vista Road,2402,UNINC DOUG,80125,Douglas,16,1,SOUTH METRO,16,URBAN,Non-emergent,12/9/2019 12:10,12/9/2019 12:10,12/9/2019 12:16,12/9/2019 12:57,Provide advanced life support (ALS); Transport person,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 12:10,0:27,5:17,5:44,47:21:00,"RESCUE, EMS",SM-225151,321 - Emergency medical incident,-11691788.16,4802353.018
SM-2019-40712,2019-0049398,321,Emergency medical incident,C,333 Dad Clark Drive,,UNINC DOUG,80126,Douglas,18,1,SOUTH METRO,18,URBAN,Emergent,12/9/2019 15:10,12/9/2019 15:11,12/9/2019 15:16,12/9/2019 15:40,Provide advanced life support (ALS); Transport person,"Fixed-use recreation places, other",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 15:10,0:38,5:44,6:22,29:41:00,"RESCUE, EMS",SM-225173,321 - Emergency medical incident,-11687013.66,4802676.464
SM-2019-40720,2019-0049407,321,Emergency medical incident,C,13796 Compark Boulevard,,UNINC DOUG,80112,Douglas,44,4,SOUTH METRO,44,SUBURBAN,Non-emergent,12/9/2019 16:10,12/9/2019 16:11,12/9/2019 16:19,12/9/2019 16:52,Provide advanced life support (ALS); Transport person,"Manufacturing, processing",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 16:10,0:39,7:36,8:15,41:51:00,"RESCUE, EMS",SM-225179,321 - Emergency medical incident,-11669410.71,4802028.139
SM-2019-40732,2019-0049420,321,Emergency medical incident,C,2099 E Phillips Lane,,CENTENNIAL,80122,Arapahoe,15,2,SOUTH METRO,15,URBAN,Non-emergent,12/9/2019 17:12,12/9/2019 17:12,12/9/2019 17:17,12/9/2019 17:47,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 17:12,0:42,4:47,5:29,35:18:00,"RESCUE, EMS",SM-225190,321 - Emergency medical incident,-11684507.86,4803222.303
SM-2019-40739,2019-0049430,412,Natural gas or LPG leak (outside),C,5829 S Pearl Street,,CENTENNIAL,80121,Arapahoe,12,2,SOUTH METRO,12,SUBURBAN,Non-emergent,12/9/2019 17:44,12/9/2019 17:44,12/9/2019 17:59,12/9/2019 18:31,Ventilate; Investigate,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 17:44,0:08,14:16,14:24,47:22:00,HAZARDOUS CONDITION,SM-225196,412 - Natural gas or LPG leak (outside),-11686378.03,4809669.207
SM-2019-40747,2019-0049438,600,"Good intent call, other",C,17585 Pine Lane,5404,PARKER,80134,Douglas,45,4,SOUTH METRO,42,URBAN,Emergent,12/9/2019 18:28,12/9/2019 18:29,12/9/2019 18:34,12/9/2019 18:53,Investigate,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 18:28,0:44,5:10,5:54,24:42:00,GOOD INTENT CALL,SM-225208,"600 - Good intent call, other",-11664554.96,4800055.986
SM-2019-40759,2019-0049452,442,Overheated motor,C,187 I-25 SB,,UNINC DOUG,80108,Douglas,36,1,SOUTH METRO,36,SUBURBAN,Emergent,12/9/2019 20:36,12/9/2019 20:36,12/9/2019 20:41,12/9/2019 20:51,"Investigate; Assistance, other",Highway or divided highway,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,12/9/2019 20:36,0:28,4:07,4:35,14:29,HAZARDOUS CONDITION,SM-225218,442 - Overheated motor,-11674710.63,4785525.129
