Incident Num,CAD Num,Inc Type Code,Inc Type Desc,Shift,Address,Apt,City,Zip,County,Station First Due,BC District,Fire District,Medic First Due,Pop Density,Response Type,911 Date,Notify Date,Arrival Date,Clear Date,Action Taken,Property Use,Property Loss,Property Value,Mutual Aid,Cause of Ignition,Fire Spread,Injury/Fatality,Geo Status,How Geocoded,Incident Date,Process Time,Unit Response Time,Total Response Time,Total Resource Time,Incident Category,Record ID,Inc Type Desc,X,Y
SM-2019-13837,2019-0016547,321,Emergency medical incident,C,3420 Mill Vista Road,1120,UNINC DOUG,80129,Douglas,16,1,SOUTH METRO,16,URBAN,Non-emergent,5/1/2019 2:19,5/1/2019 2:19,5/1/2019 2:26,5/1/2019 2:53,Provide basic life support (BLS); Transport person,"24-hour care Nursing homes, 4 or more persons",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 2:19,0:37,6:46,7:23,34:15:00,"RESCUE, EMS",SM-198381,321 - Emergency medical incident,-11692329.17,4802084.451
SM-2019-13844,2019-0016557,321,Emergency medical incident,C,7644 S Harlan Street,,UNINC JEFF,80128,Jefferson,13,1,SOUTH METRO,13,URBAN,"Non-emergent initially, changing to emergent",5/1/2019 7:03,5/1/2019 7:04,5/1/2019 7:10,5/1/2019 8:03,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 7:03,0:24,6:30,6:54,60:20:00,"RESCUE, EMS",SM-198388,321 - Emergency medical incident,-11695603.08,4804870.108
SM-2019-13855,2019-0016570,325,Vehicle accident with no injuries,C,5100 S Picadilly Street,,UNINC ARAP,80015,Arapahoe,23,5,SOUTH METRO,23,URBAN,Non-emergent,5/1/2019 8:15,5/1/2019 8:15,5/1/2019 8:21,5/1/2019 8:24,Investigate,High school/junior high school/middle school,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 8:15,0:17,6:02,6:19,9:16,"RESCUE, EMS",SM-198399,325 - Vehicle accident with no injuries,-11659078.04,4811481.386
SM-2019-13862,2019-0016577,325,Vehicle accident with no injuries,C,E Lincoln Avenue & Fairview Drive,,LONE TREE,80124,Douglas,34,3,SOUTH METRO,34,URBAN,Emergent,5/1/2019 9:21,5/1/2019 9:21,5/1/2019 9:26,5/1/2019 9:39,Investigate,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 9:21,0:28,4:53,5:21,17:51,"RESCUE, EMS",SM-198406,325 - Vehicle accident with no injuries,-11676613.08,4798801.575
SM-2019-13870,2019-0016586,113,"Cooking fire, confined to container",C,122 Plaza Drive,,UNINC DOUG,80129,Douglas,18,2,SOUTH METRO,18,URBAN,Emergent,5/1/2019 9:54,5/1/2019 9:54,5/1/2019 10:00,5/1/2019 10:03,Investigate,"Day care, in commercial property",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 9:54,0:19,5:29,5:48,9:08,"FIRE, EXPLOSION",SM-198413,"113 - Cooking fire, confined to container",-11687448.92,4801958.832
SM-2019-13881,2019-0016599,321,Emergency medical incident,C,18109 E Maplewood Drive,,UNINC ARAP,80016,Arapahoe,22,5,SOUTH METRO,42,SUBURBAN,Non-emergent,5/1/2019 10:57,5/1/2019 10:58,5/1/2019 11:04,5/1/2019 11:43,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 10:57,0:53,5:30,6:23,45:40:00,"RESCUE, EMS",SM-198424,321 - Emergency medical incident,-11663771.27,4808675.105
SM-2019-13888,2019-0016606,321,Emergency medical incident,C,195 Inverness Drive W,--,UNINC ARAP,80112,Arapahoe,34,3,SOUTH METRO,34,URBAN,Non-emergent,5/1/2019 11:47,5/1/2019 11:47,5/1/2019 11:53,5/1/2019 12:26,Provide advanced life support (ALS); Transport person,Business office,NaN,NaN,No aid given or received,,,,M,address_points_zip,5/1/2019 11:47,0:37,5:50,6:27,39:19:00,"RESCUE, EMS",SM-198431,321 - Emergency medical incident,-11674063.93,4803286.756
SM-2019-13895,2019-0016614,611,Dispatched & cancelled enroute,C,3420 Mill Vista Road,1126,UNINC DOUG,80129,Douglas,16,1,SOUTH METRO,16,URBAN,Emergent,5/1/2019 12:25,5/1/2019 12:25,,5/1/2019 12:28,Cancelled enroute,None,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 12:25,0:33,0:00,0:00,3:45,GOOD INTENT CALL,SM-198438,611 - Dispatched & cancelled enroute,-11692329.17,4802084.451
SM-2019-13906,2019-0016627,322,Vehicle accident with injuries,C,Lincoln Meadows Parkway & Dransfeldt Road,,PARKER,80134,Douglas,45,4,SOUTH METRO,41,URBAN,Non-emergent,5/1/2019 13:33,5/1/2019 13:33,5/1/2019 13:38,5/1/2019 14:13,Provide first aid &amp; check for injuries; Transport person,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 13:33,0:28,5:01,5:29,40:16:00,"RESCUE, EMS",SM-198449,322 - Vehicle accident with injuries,-11663121.16,4798364.228
SM-2019-13920,2019-0016642,321,Emergency medical incident,C,5858 S Santa Fe Drive,,LITTLETON,80120,Arapahoe,11,2,SOUTH METRO,11,URBAN,Non-emergent,5/1/2019 16:40,5/1/2019 16:42,5/1/2019 16:45,5/1/2019 17:20,Provide advanced life support (ALS); Transport person,Restaurant or cafeteria,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 16:40,1:11,3:43,4:54,39:06:00,"RESCUE, EMS",SM-198463,321 - Emergency medical incident,-11690840.83,4809572.394
SM-2019-13931,2019-0016653,743,Unintentional - smoke detector activation (no fire),C,4569 S Ireland Lane,,UNINC ARAP,80015,Arapahoe,23,5,SOUTH METRO,23,URBAN,Emergent,5/1/2019 19:56,5/1/2019 19:57,5/1/2019 20:02,5/1/2019 20:07,Investigate,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 19:56,0:36,5:37,6:13,11:16,"FALSE ALARM, FALSE CALL",SM-198474,743 - Unintentional - smoke detector activation (no fire),-11660826.87,4812902.168
SM-2019-13938,2019-0016660,321,Emergency medical incident,C,8052 S Clayton Circle,,CENTENNIAL,80122,Arapahoe,15,2,SOUTH METRO,15,URBAN,Non-emergent,5/1/2019 20:56,5/1/2019 20:56,5/1/2019 21:01,5/1/2019 21:34,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 20:56,0:35,4:30,5:05,38:05:00,"RESCUE, EMS",SM-198481,321 - Emergency medical incident,-11683776.49,4803928.472
SM-2019-13945,2019-0016669,611,Dispatched & cancelled enroute,C,S Dayton Street & S Parker Road,,UNINC ARAP,80247,Arapahoe,21,5,SOUTH METRO,21,URBAN,Emergent,5/1/2019 23:48,5/1/2019 23:48,,5/1/2019 23:53,Cancelled enroute,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/1/2019 23:48,0:49,0:00,0:00,5:24,GOOD INTENT CALL,SM-198488,611 - Dispatched & cancelled enroute,-11674661.65,4819313.372
SM-2019-13956,2019-0016685,611,Dispatched & cancelled enroute,C,S Gun Club Road & E Hampden Avenue,,UNINC ARAP,80016,Arapahoe,23,5,SOUTH METRO,23,RURAL,"Emergent initially, changing to non-emergent",5/2/2019 6:33,5/2/2019 6:34,,5/2/2019 6:44,Cancelled enroute,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 6:33,0:31,0:00,0:00,11:05,GOOD INTENT CALL,SM-198499,611 - Dispatched & cancelled enroute,-11656951.84,4815646.018
SM-2019-13963,2019-0016694,325,Vehicle accident with no injuries,B,0 S Havana Street,,CHERRY HILLS VILLAGE,80121.2,Arapahoe,38,3,SOUTH METRO,37,,Emergent,5/2/2019 9:44,5/2/2019 9:44,5/2/2019 9:51,5/2/2019 10:14,Investigate,"Residential street, road or residential driveway",NaN,NaN,Automatic aid given to another agency,,,,C,X-Y Coordinates,5/2/2019 9:44,0:26,7:11,7:37,30:17:00,"RESCUE, EMS",SM-198506,325 - Vehicle accident with no injuries,-11683433.63,4815656.139
SM-2019-13970,2019-0016702,321,Emergency medical incident,B,9520 E Powers Place,,GREENWOOD VILLAGE,80111,Arapahoe,31,5,SOUTH METRO,31,URBAN,Emergent,5/2/2019 10:47,5/2/2019 10:47,5/2/2019 10:52,5/2/2019 11:43,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 10:47,0:19,5:31,5:50,56:15:00,"RESCUE, EMS",SM-198513,321 - Emergency medical incident,-11675062.4,4810169.186
SM-2019-13981,2019-0016715,321,Emergency medical incident,B,5000 S Quebec Street,,UNINC ARAP,80237,Denver,32,3,SOUTH METRO,32,URBAN,Non-emergent,5/2/2019 12:38,5/2/2019 12:38,5/2/2019 12:42,5/2/2019 13:21,Provide advanced life support (ALS); Transport person,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 12:38,0:25,3:37,4:02,42:31:00,"RESCUE, EMS",SM-198524,321 - Emergency medical incident,-11677838.71,4811748.761
SM-2019-13988,2019-0016724,321,Emergency medical incident,B,10750 Wynspire Way,,UNINC DOUG,80130,Douglas,17,2,SOUTH METRO,17,URBAN,Non-emergent,5/2/2019 13:12,5/2/2019 13:13,5/2/2019 13:18,5/2/2019 13:50,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 13:12,0:29,4:55,5:24,37:16:00,"RESCUE, EMS",SM-198531,321 - Emergency medical incident,-11681925.25,4796560.194
SM-2019-13995,2019-0016738,321,Emergency medical incident,B,E Dry Creek Road & S Yosemite Street,,CENTENNIAL,80112,Arapahoe,33,3,SOUTH METRO,34,URBAN,Non-emergent,5/2/2019 13:59,5/2/2019 14:00,5/2/2019 14:05,5/2/2019 15:02,Provide advanced life support (ALS); Transport person,Street or road in commercial area,NaN,NaN,Automatic aid received from other agencies,,,,C,X-Y Coordinates,5/2/2019 13:59,0:38,4:56,5:34,62:57:00,"RESCUE, EMS",SM-198538,321 - Emergency medical incident,-11675820.49,4805177.748
SM-2019-14006,2019-0016758,325,Vehicle accident with no injuries,B,E Lincoln Avenue & S Peoria Street,,LONE TREE,80134,Douglas,44,4,SOUTH METRO,44,URBAN,Emergent,5/2/2019 15:03,5/2/2019 15:03,5/2/2019 15:03,5/2/2019 15:36,Investigate,Highway or divided highway,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 15:03,0:22,0:10,0:32,32:57:00,"RESCUE, EMS",SM-198549,325 - Vehicle accident with no injuries,-11671066.03,4798790.028
SM-2019-14013,2019-0016767,321,Emergency medical incident,B,3235 Mill Vista Road,FRONT DESK,UNINC DOUG,80129,Douglas,16,1,SOUTH METRO,16,URBAN,Non-emergent,5/2/2019 16:03,5/2/2019 16:04,5/2/2019 16:11,5/2/2019 16:41,Provide basic life support (BLS),"24-hour care Nursing homes, 4 or more persons",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 16:03,0:25,7:30,7:55,37:54:00,"RESCUE, EMS",SM-198556,321 - Emergency medical incident,-11691992.98,4802251.943
SM-2019-14020,2019-0016777,321,Emergency medical incident,B,S Parker Road & Stroh Road,,PARKER,80134,Douglas,46,4,SOUTH METRO,46,SUBURBAN,Emergent,5/2/2019 17:13,5/2/2019 17:13,5/2/2019 17:16,5/2/2019 17:44,Provide first aid &amp; check for injuries,Street or road in commercial area,NaN,NaN,Automatic aid received from other agencies,,,,C,X-Y Coordinates,5/2/2019 17:13,0:39,2:28,3:07,30:56:00,"RESCUE, EMS",SM-198563,321 - Emergency medical incident,-11661594.97,4790447.654
SM-2019-14031,2019-0016789,651,"Smoke or odor investigation, no fire",B,841 Swandyke Court,,UNINC DOUG,80108,Douglas,39,1,SOUTH METRO,36,SUBURBAN,Emergent,5/2/2019 19:18,5/2/2019 19:19,5/2/2019 19:26,5/2/2019 19:37,Investigate,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 19:18,0:22,7:23,7:45,18:30,GOOD INTENT CALL,SM-198574,"651 - Smoke or odor investigation, no fire",-11679113.32,4786524.145
SM-2019-14038,2019-0016796,611,Dispatched & cancelled enroute,B,7128 S Windermere Street,,LITTLETON,80120,Arapahoe,12,2,SOUTH METRO,12,URBAN,"Emergent initially, changing to non-emergent",5/2/2019 20:24,5/2/2019 20:24,,5/2/2019 20:28,Cancelled enroute,None,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 20:24,0:25,0:00,0:00,4:40,GOOD INTENT CALL,SM-198581,611 - Dispatched & cancelled enroute,-11689290.15,4805996.722
SM-2019-14045,2019-0016804,321,Emergency medical incident,B,9921 Melbourne Circle,,UNINC DOUG,80130,Douglas,17,2,SOUTH METRO,17,URBAN,Emergent,5/2/2019 21:31,5/2/2019 21:31,5/2/2019 21:36,5/2/2019 22:18,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 21:31,0:21,4:45,5:06,47:12:00,"RESCUE, EMS",SM-198588,321 - Emergency medical incident,-11681513.37,4798736.621
SM-2019-14049,2019-0016809,321,Emergency medical incident,B,12629 Washington Lane,B2,UNINC DOUG,80112,Douglas,44,4,SOUTH METRO,44,URBAN,Non-emergent,5/2/2019 23:45,5/2/2019 23:46,5/2/2019 23:50,5/3/2019 0:22,Provide basic life support (BLS),1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/2/2019 23:45,0:24,4:20,4:44,36:57:00,"RESCUE, EMS",SM-198592,321 - Emergency medical incident,-11671145.07,4799158.106
SM-2019-14117,2019-0016895,321,Emergency medical incident,B,2697 W Belleview Avenue,,LITTLETON,80123,Arapahoe,11,2,SOUTH METRO,11,URBAN,Non-emergent,5/3/2019 13:12,5/3/2019 13:13,5/3/2019 13:18,5/3/2019 14:09,Provide advanced life support (ALS); Transport person,Convenience store,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 13:12,0:43,5:08,5:51,56:24:00,"RESCUE, EMS",SM-198659,321 - Emergency medical incident,-11690776.26,4811546.423
SM-2019-14124,2019-0016902,611,Dispatched & cancelled enroute,B,8300 E Crescent Parkway,COMPLEX,GREENWOOD VILLAGE,80111.1,Arapahoe,32,3,SOUTH METRO,32,URBAN,Non-emergent,5/3/2019 13:27,5/3/2019 13:27,,5/3/2019 13:29,Cancelled enroute,None,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 13:27,0:20,0:00,0:00,2:13,GOOD INTENT CALL,SM-198666,611 - Dispatched & cancelled enroute,-11676528.48,4811390.336
SM-2019-14131,2019-0016911,321,Emergency medical incident,B,7545 E Iliff Avenue,,UNINC ARAP,80231,Arapahoe,21,5,SOUTH METRO,21,URBAN,Non-emergent,5/3/2019 14:17,5/3/2019 14:18,5/3/2019 14:23,5/3/2019 14:52,Transport person; Provide advanced life support (ALS),Vehicle parking area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 14:17,0:39,5:07,5:46,35:03:00,"RESCUE, EMS",SM-198673,321 - Emergency medical incident,-11677434.62,4818960.461
SM-2019-14142,2019-0016922,321,Emergency medical incident,B,Canterberry Parkway & Canterberry Trail,,PARKER,80138,Douglas,41,4,SOUTH METRO,41,URBAN,Non-emergent,5/3/2019 16:05,5/3/2019 16:05,5/3/2019 16:13,5/3/2019 16:57,Provide advanced life support (ALS); Transport person,"Residential street, road or residential driveway",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 16:05,0:34,7:30,8:04,51:42:00,"RESCUE, EMS",SM-198684,321 - Emergency medical incident,-11657419.38,4793563.328
SM-2019-14149,2019-0016930,321,Emergency medical incident,B,12056 E Lake Circle,,GREENWOOD VILLAGE,80111,Arapahoe,35,5,SOUTH METRO,31,URBAN,Emergent,5/3/2019 17:38,5/3/2019 17:38,5/3/2019 17:42,5/3/2019 18:13,Provide advanced life support (ALS),1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 17:38,0:18,4:12,4:30,35:46:00,"RESCUE, EMS",SM-198691,321 - Emergency medical incident,-11671698.33,4808873.051
SM-2019-14156,2019-0016938,321,Emergency medical incident,B,4900 S Clarkson Street,,CHERRY HILLS VILLAGE,80113.1,Arapahoe,37,3,SOUTH METRO,37,SUBURBAN,Non-emergent,5/3/2019 18:52,5/3/2019 18:52,5/3/2019 18:57,5/3/2019 19:29,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 18:52,0:50,4:26,5:16,37:47:00,"RESCUE, EMS",SM-198698,321 - Emergency medical incident,-11686099.73,4811955.439
SM-2019-14160,2019-0016943,321,Emergency medical incident,B,9568 S University Boulevard,,UNINC DOUG,80126,Douglas,17,2,SOUTH METRO,17,URBAN,Emergent,5/3/2019 19:48,5/3/2019 19:48,5/3/2019 19:51,5/3/2019 20:05,Provide advanced life support (ALS),Athletic or health club,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 19:48,0:19,2:36,2:55,16:49,"RESCUE, EMS",SM-198702,321 - Emergency medical incident,-11681591.29,4799826.456
SM-2019-14167,2019-0016950,321,Emergency medical incident,B,3420 Mill Vista Road,1133,UNINC DOUG,80129,Douglas,16,1,SOUTH METRO,16,URBAN,Non-emergent,5/3/2019 20:35,5/3/2019 20:36,5/3/2019 20:45,5/3/2019 21:19,Provide advanced life support (ALS); Transport person,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 20:35,0:52,8:46,9:38,43:38:00,"RESCUE, EMS",SM-198709,321 - Emergency medical incident,-11692329.17,4802084.451
SM-2019-14174,2019-0016958,325,Vehicle accident with no injuries,B,E Orchard Road & E Ida Drive,,CENTENNIAL,80015,Arapahoe,42,5,SOUTH METRO,42,URBAN,Non-emergent,5/3/2019 21:27,5/3/2019 21:27,5/3/2019 21:32,5/3/2019 22:13,Investigate,Street or road in commercial area,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/3/2019 21:27,0:19,5:20,5:39,45:52:00,"RESCUE, EMS",SM-198716,325 - Vehicle accident with no injuries,-11667243.32,4809576.728
SM-2019-14185,2019-0016970,600,"Good intent call, other",B,9616 Timber Hawk Circle,,UNINC DOUG,80126,Douglas,17,2,SOUTH METRO,17,URBAN,Emergent,5/4/2019 1:21,5/4/2019 1:21,5/4/2019 1:29,5/4/2019 1:34,Investigate,Multi-family residence (more than 2 families),NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/4/2019 1:21,0:15,8:04,8:19,13:02,GOOD INTENT CALL,SM-198727,"600 - Good intent call, other",-11681492.22,4799663.334
SM-2019-14192,2019-0016977,321,Emergency medical incident,B,10030 Trainstation Circle,COMPLEX,LONE TREE,80124,Douglas,44,4,SOUTH METRO,44,SUBURBAN,Emergent,5/4/2019 5:02,5/4/2019 5:02,5/4/2019 5:09,5/4/2019 5:21,Provide basic life support (BLS),"Hotel/motel, commercial",NaN,NaN,No aid given or received,,,,M,address_points_zip,5/4/2019 5:02,0:41,6:40,7:21,19:15,"RESCUE, EMS",SM-198734,321 - Emergency medical incident,-11674099.74,4798700.995
SM-2019-14199,2019-0016985,735,Malfunction - due to alarm system activation,A,175 Inverness Drive W,,UNINC ARAP,80112,Arapahoe,34,3,SOUTH METRO,34,URBAN,"Emergent initially, changing to non-emergent",5/4/2019 7:17,5/4/2019 7:17,5/4/2019 7:23,5/4/2019 7:30,Investigate,Construction site,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/4/2019 7:17,0:28,6:03,6:31,13:28,"FALSE ALARM, FALSE CALL",SM-198741,735 - Malfunction - due to alarm system activation,-11674432.34,4804257.746
SM-2019-14210,2019-0016999,321,Emergency medical incident,A,22612 E Bellewood Drive,,UNINC ARAP,80015,Arapahoe,23,5,SOUTH METRO,23,URBAN,Emergent,5/4/2019 9:27,5/4/2019 9:27,5/4/2019 9:32,5/4/2019 10:32,Provide advanced life support (ALS); Transport person,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/4/2019 9:27,0:48,4:17,5:05,65:08:00,"RESCUE, EMS",SM-198752,321 - Emergency medical incident,-11657822.35,4811491.503
SM-2019-14217,2019-0017010,321,Emergency medical incident,A,5565 S Yosemite Street,121,GREENWOOD VILLAGE,80111.1,Arapahoe,31,5,SOUTH METRO,31,URBAN,Emergent,5/4/2019 10:42,5/4/2019 10:42,5/4/2019 10:47,5/4/2019 11:09,Provide first aid &amp; check for injuries,"Residential, other",NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/4/2019 10:42,0:33,4:31,5:04,26:56:00,"RESCUE, EMS",SM-198759,321 - Emergency medical incident,-11675881.71,4810380.167
SM-2019-14224,2019-0017018,743,Unintentional - smoke detector activation (no fire),A,4741 S Riviera Street,,UNINC ARAP,80015,Arapahoe,23,5,SOUTH METRO,23,URBAN,Non-emergent,5/4/2019 11:11,5/4/2019 11:12,5/4/2019 11:24,5/4/2019 11:39,Investigate,1 or 2 family residence,NaN,NaN,No aid given or received,,,,C,X-Y Coordinates,5/4/2019 11:11,0:43,12:26,13:09,28:03:00,"FALSE ALARM, FALSE CALL",SM-198766,743 - Unintentional - smoke detector activation (no fire),-11658843.15,4812326.893
